id,errors-question1,errors-question2,errors-question3,errors-question4,Errors-question5
20170058655,0,1,1,1,1
20170109324,0,0,1,1,1
20170200235,0,0,3,3,3
20170024290,0,0,2,0,1
20170016539,2,0,2,1,0
20170193355,2,2,3,3,3
20170110227,0,0,1,3,1
20170019512,2,2,3,3,2
20170018097,0,1,1,2,2
20170112348,1,1,1,0,0
20170022071,2,0,0,3,0
20170157420,4,4,5,5,4
20170015291,2,1,1,1,1
20170027630,1,1,2,1,1
20170110183,2,0,3,1,1
20170024479,1,1,1,1,1
20170073034,,2,4,4,5
2016090227,3,0,2,1,2
2016084702,0,0,1,1,0
20170141214,2,0,2,1,0
20170027158,0,0,0,0,0
20170061679,1,1,2,,3
11412497,1,3,3,3,3
20170018936,0,1,1,1,1
20170017797,0,0,0,1,0
20170059376,0,1,1,2,1
20170203827,1,2,2,3,3
20170101451,0,0,0,1,4
20170164380,2,1,1,4,2
20160121307,1,2,2,2,1
20170071559,1,1,1,3,
